id,label,text,,,,,,,,,,,,,,
0,1,Diese Opfer sind wohl alle Akrobaten.,,,,,,,,,,,,,,
1,0,Unfassbares Behördenverhalten.,,,,,,,,,,,,,,
2,0,Ich finde es gut dass es nochmal dieses Thema in den Medien gibt.,,,,,,,,,,,,,,
3,0,"Kann es sein, dass die Hinterbliebenen und Geschädigten noch immer nicht angemessen entschädigt würden? Vom polnischen Spediteur ganz zu schweigen. Armes Deutschland.",,,,,,,,,,,,,
4,1,"Das sind nur nue Informationsstaende ueber die ""Pannen"" , man koennte auch Vertuschungsversuche annehmen, zu diesen 2 Jahre alten Vorgaengen. Muss irgendwer seinen Hut nehmen?",,,,,,,,,,,,
5,0,"Was, wenn ueberhaupt was, funktioniert eigentlich in Deutschland noch ?",,,,,,,,,,,,
6,0,"Die Regierung hatte ja schon längst ihre Finger im Spiel und den Mittäter abschieben lassen. Genauso wie der Kommissar schon das Bauernopfer war, ""weil er Amri nicht weggesperrt hat, als er etwas mit Drogen zu tun hatte"".",,,,,,,,,,,,
7,0,"Aber der breiten Öffentlichkeit kann man das ja anders verklickern, wenn man einen Ar*** braucht, der schuld sein soll...",,,,,,,,,,,,
8,0,Das stinkt doch zum Himmel Soviel Unfähigkeit ist doch kein Zufall. Wenn die Fakten nicht passen werden sie eben passend gemacht.Und der eilig abgeschobene Komplize ist natürlich für eine Befragung nicht auffindbar.,,,,,,,,,,,,,,
9,0,"Unglaublich Was hier ans Licht kommt ist einfach unglaublich. Man kommt sich vor wie in einer Bananenrepublik. Vertuschung, Verschleppung, Begünstigung, Pfusch, offensichtlicher Ermittlungs-Unwille es fehlt noch das Schmiergeld dann wäre es komplett.",,,,,,,,,,
10,0,Staat im Eimer,,,,,,,,,,,,,,
11,0,"Merkel ist bereits einen Tag nach dem Anschlag auf Charly Hebdo in Paris, kommt aber erst ein geschlagenes ganzes Jahr nach der Terrorfahrt von Amri zum Breitscheidplatz. Das einzige was reibungslos funktioniert, ist die Abzocke von Parksündern. Deutschland quo vadis?",,,,,,,,,,,,
12,0,"Focus, ich feier euch!",,,,,,,,,,,,,
13,1,"Bleibt bitte an der Sache dran, in der Causa haben so viele ""Staatsdiener"" und Mitglieder der Regierung förmlich Dreck am stecken. Erschütternd und ernüchternd zugleich ist die Erkenntnis, dass auch die Geralbundesanwaltschaft mutmaßlich nicht frei und unabhängig ermittelt, sondern sich den Anweisungen der Regierung beugt. Durch den eingesetzten Untersuchungsausschuss erwarte ich als Bürger nichts, die handelnden Parteisoldaten fühlen sich ihrer Ideologie und der Partei mehr verpflichtet, als objektive Aufklärung zu betreiben. Oder glaubt wirklich jemand, dass der Untersuchungsausschuss Interesse an einer Regierungskrise hat?",,,,,,,,
